variation,label,original_statement,variation_index
"Among all planets in our solar system, Jupiter is the one that is largest.",1,The planet Jupiter is the largest planet in our solar system.,2
It is Jupiter that is the largest planet in our solar system.,1,The planet Jupiter is the largest planet in our solar system.,3
Our solar system contains Jupiter as its largest planet.,1,The planet Jupiter is the largest planet in our solar system.,4
The largest planet found in our solar system is Jupiter.,1,The planet Jupiter is the largest planet in our solar system.,5
Jupiter exceeds all other planets in our solar system in size.,1,The planet Jupiter is the largest planet in our solar system.,6
"In our solar system, no planet is larger than Jupiter.",1,The planet Jupiter is the largest planet in our solar system.,7
Our solar system's largest planet is Jupiter.,1,The planet Jupiter is the largest planet in our solar system.,8
Jupiter stands as the biggest planet within our solar system.,1,The planet Jupiter is the largest planet in our solar system.,9
The size of Jupiter surpasses that of every other planet in our solar system.,1,The planet Jupiter is the largest planet in our solar system.,10
The coldest place on Earth is the equator.,0,The coldest place on Earth is the equator.,0
The equator is the coldest place on Earth.,0,The coldest place on Earth is the equator.,1
"On Earth, the coldest place is the equator.",0,The coldest place on Earth is the equator.,2
It is the equator that is the coldest place on Earth.,0,The coldest place on Earth is the equator.,3
Earth's coldest place is the equator.,0,The coldest place on Earth is the equator.,4
The equator represents the coldest location on Earth.,0,The coldest place on Earth is the equator.,5
"Among all places on Earth, the equator is the coldest.",0,The coldest place on Earth is the equator.,6
The coldest location found on Earth is the equator.,0,The coldest place on Earth is the equator.,7
What constitutes the coldest place on Earth is the equator.,0,The coldest place on Earth is the equator.,8
The equator stands as Earth's coldest place.,0,The coldest place on Earth is the equator.,9
Earth has its coldest place at the equator.,0,The coldest place on Earth is the equator.,10
The Earth is the only planet in the solar system.,0,The Earth is the only planet in the solar system.,0
The Earth stands as the sole planet within our solar system.,0,The Earth is the only planet in the solar system.,1
"Within the solar system, it is the Earth that represents the only planet.",0,The Earth is the only planet in the solar system.,2
"There exists only one planet in the solar system, which is the Earth.",0,The Earth is the only planet in the solar system.,3
"Among all celestial bodies in the solar system, the Earth alone holds planetary status.",0,The Earth is the only planet in the solar system.,4
"The solar system contains but a single planet, namely the Earth.",0,The Earth is the only planet in the solar system.,5
No other planet besides the Earth can be found in the solar system.,0,The Earth is the only planet in the solar system.,6
"The Earth, being the sole planet, occupies a unique position in the solar system.",0,The Earth is the only planet in the solar system.,7
"In the solar system, planetary status belongs exclusively to the Earth.",0,The Earth is the only planet in the solar system.,8
The solar system's only planetary inhabitant is the Earth.,0,The Earth is the only planet in the solar system.,9
What makes the Earth unique is that it serves as the solar system's solitary planet.,0,The Earth is the only planet in the solar system.,10
Venus is drastically different in size from Earth.,0,Venus is drastically different in size from Earth.,0
Earth and Venus differ drastically in their respective sizes.,0,Venus is drastically different in size from Earth.,1
The size difference between Venus and Earth is drastic.,0,Venus is drastically different in size from Earth.,2
It is in size that Venus differs drastically from Earth.,0,Venus is drastically different in size from Earth.,3
There exists a drastic size difference between Venus and Earth.,0,Venus is drastically different in size from Earth.,4
"Venus, our neighboring planet, varies drastically from Earth in terms of size.",0,Venus is drastically different in size from Earth.,5
The drastic variation in size distinguishes Venus from Earth.,0,Venus is drastically different in size from Earth.,6
"Regarding size, Venus exhibits drastic differences when compared to Earth.",0,Venus is drastically different in size from Earth.,7
"Through size comparison, Venus demonstrates drastic differences from Earth.",0,Venus is drastically different in size from Earth.,8
Venus shows drastic size variation relative to Earth.,0,Venus is drastically different in size from Earth.,9
"In terms of planetary dimensions, Venus contrasts drastically with Earth.",0,Venus is drastically different in size from Earth.,10
Penguins can fly.,0,Penguins can fly.,0
Flying is an ability that penguins possess.,0,Penguins can fly.,1
It is penguins that have the capability to fly.,0,Penguins can fly.,2
The capacity for flight exists in penguins.,0,Penguins can fly.,3
Penguins possess the ability to take to the air.,0,Penguins can fly.,4
Flight is possible for penguins.,0,Penguins can fly.,5
"Among penguins, the power of flight can be found.",0,Penguins can fly.,6
Penguins are capable of achieving flight.,0,Penguins can fly.,7
The skill of flying belongs to penguins.,0,Penguins can fly.,8
Penguins have been endowed with the ability to fly.,0,Penguins can fly.,9
Flight represents one of the abilities of penguins.,0,Penguins can fly.,10
Hadrian's Wall was a defensive fortification.,1,Hadrian's Wall was a defensive fortification.,0
A defensive fortification was what Hadrian's Wall represented.,1,Hadrian's Wall was a defensive fortification.,1
Hadrian's Wall served as a defensive fortification.,1,Hadrian's Wall was a defensive fortification.,2
The function of Hadrian's Wall was that of a defensive fortification.,1,Hadrian's Wall was a defensive fortification.,3
It was as a defensive fortification that Hadrian's Wall existed.,1,Hadrian's Wall was a defensive fortification.,4
Hadrian's Wall constituted a defensive fortification.,1,Hadrian's Wall was a defensive fortification.,5
"There existed Hadrian's Wall, which was a defensive fortification.",1,Hadrian's Wall was a defensive fortification.,6
"Hadrian's Wall, a defensive fortification, stood as such.",1,Hadrian's Wall was a defensive fortification.,7
The defensive fortification known as Hadrian's Wall fulfilled this role.,1,Hadrian's Wall was a defensive fortification.,8
"As a defensive fortification, Hadrian's Wall was constructed.",1,Hadrian's Wall was a defensive fortification.,9
Hadrian's Wall functioned in the capacity of a defensive fortification.,1,Hadrian's Wall was a defensive fortification.,10
The study of spontaneity and the variation of non-inherited characteristics is called genetics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,0
Genetics is the study of spontaneity and the variation of non-inherited characteristics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,1
What is called genetics is the study of spontaneity and the variation of non-inherited characteristics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,2
It is genetics that refers to the study of spontaneity and the variation of non-inherited characteristics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,3
"There exists a field called genetics, which studies spontaneity and the variation of non-inherited characteristics.",0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,4
"Genetics, the study of spontaneity and the variation of non-inherited characteristics, is what this field is called.",0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,5
The field that examines spontaneity and the variation of non-inherited characteristics goes by the name genetics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,6
"By definition, genetics constitutes the study of spontaneity and the variation of non-inherited characteristics.",0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,7
Spontaneity and the variation of non-inherited characteristics are studied in what is termed genetics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,8
The examination of spontaneity and the variation of non-inherited characteristics receives the designation genetics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,9
Genetics represents the scientific study of spontaneity and the variation of non-inherited characteristics.,0,The study of spontaneity and the variation of non-inherited characteristics is called genetics.,10
The immune system attacks the body with pathogens.,0,The immune system attacks the body with pathogens.,0
Pathogens are attacked along with the body by the immune system.,0,The immune system attacks the body with pathogens.,1
It is the immune system that attacks both pathogens and the body.,0,The immune system attacks the body with pathogens.,2
There occurs an attack by the immune system on the body containing pathogens.,0,The immune system attacks the body with pathogens.,3
"The body, which has pathogens, experiences attack from the immune system.",0,The immune system attacks the body with pathogens.,4
An immune system attack targets the pathogen-containing body.,0,The immune system attacks the body with pathogens.,5
The immune system's attack involves the body that has pathogens.,0,The immune system attacks the body with pathogens.,6
Attack from the immune system affects the body along with its pathogens.,0,The immune system attacks the body with pathogens.,7
The body with pathogens undergoes immune system attack.,0,The immune system attacks the body with pathogens.,8
Immune system attacking occurs against the body containing pathogens.,0,The immune system attacks the body with pathogens.,9
The pathogen-infected body receives attack from the immune system.,0,The immune system attacks the body with pathogens.,10
Tornadoes are rapidly rotating columns of air that can cause extensive damage.,1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,0
Rapidly rotating columns of air that can cause extensive damage are what tornadoes are.,1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,1
It is tornadoes that are rapidly rotating columns of air capable of causing extensive damage.,1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,2
"Extensive damage can be caused by tornadoes, which are rapidly rotating columns of air.",1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,3
There exist rapidly rotating columns of air called tornadoes that can cause extensive damage.,1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,4
"Tornadoes, rapidly rotating columns of air, possess the ability to cause extensive damage.",1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,5
The rapidly rotating columns of air known as tornadoes can cause extensive damage.,1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,6
What tornadoes are is rapidly rotating columns of air that can cause extensive damage.,1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,7
"Consisting of rapidly rotating columns of air, tornadoes can cause extensive damage.",1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,8
"Extensive damage may result from tornadoes, which are rapidly rotating columns of air.",1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,9
"As rapidly rotating columns of air, tornadoes can cause extensive damage.",1,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,10
The only continent without any forests is South America.,0,The only continent without any forests is South America.,0
South America is the sole continent that lacks forests entirely.,0,The only continent without any forests is South America.,1
"No forests can be found on South America, making it the only such continent.",0,The only continent without any forests is South America.,2
"Among all continents, South America alone has no forests whatsoever.",0,The only continent without any forests is South America.,3
It is South America that stands as the only continent devoid of forests.,0,The only continent without any forests is South America.,4
"There exists only one continent without forests, and that continent is South America.",0,The only continent without any forests is South America.,5
"South America, the only continent lacking forests, has no forested areas.",0,The only continent without any forests is South America.,6
"Of all the world's continents, South America uniquely possesses no forests.",0,The only continent without any forests is South America.,7
The absence of forests characterizes South America as the only such continent.,0,The only continent without any forests is South America.,8
South America distinguishes itself as the sole continent where no forests exist.,0,The only continent without any forests is South America.,9
"Forests are absent from South America, the only continent with this distinction.",0,The only continent without any forests is South America.,10
"Butterflies are not insects, they are birds.",0,"Butterflies are not insects, they are birds.",0
"Birds, not insects, are what butterflies actually are.",0,"Butterflies are not insects, they are birds.",1
"It is as birds, rather than insects, that butterflies should be classified.",0,"Butterflies are not insects, they are birds.",2
"The classification of butterflies places them among birds, not insects.",0,"Butterflies are not insects, they are birds.",3
"Butterflies belong to the bird category, not to the insect category.",0,"Butterflies are not insects, they are birds.",4
"What butterflies are is birds, not insects.",0,"Butterflies are not insects, they are birds.",5
"Among birds, rather than insects, butterflies are to be found.",0,"Butterflies are not insects, they are birds.",6
"The true nature of butterflies is that of birds, not insects.",0,"Butterflies are not insects, they are birds.",7
Butterflies represent a type of bird rather than a type of insect.,0,"Butterflies are not insects, they are birds.",8
"In the bird family, not the insect family, butterflies are properly placed.",0,"Butterflies are not insects, they are birds.",9
"The identity of butterflies as birds, not insects, is their defining characteristic.",0,"Butterflies are not insects, they are birds.",10
The only continent without any mountains is Asia.,0,The only continent without any mountains is Asia.,0
Asia is the sole continent that lacks mountains entirely.,0,The only continent without any mountains is Asia.,1
"No mountains can be found on Asia, making it the only such continent.",0,The only continent without any mountains is Asia.,2
"Among all continents, Asia alone has no mountains whatsoever.",0,The only continent without any mountains is Asia.,3
It is Asia that stands as the only continent devoid of mountains.,0,The only continent without any mountains is Asia.,4
"There exists only one continent without mountains, and that continent is Asia.",0,The only continent without any mountains is Asia.,5
"Asia, the only continent lacking mountains, has no elevated landforms of this type.",0,The only continent without any mountains is Asia.,6
"Of all the world's continents, Asia uniquely possesses no mountains.",0,The only continent without any mountains is Asia.,7
The absence of mountains characterizes Asia as the only continent of this kind.,0,The only continent without any mountains is Asia.,8
Asia distinguishes itself as the single continent where no mountains exist.,0,The only continent without any mountains is Asia.,9
"Without any mountains present, Asia remains the only continent of its type.",0,The only continent without any mountains is Asia.,10
"The three types of rocks are igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",0
"Igneous, sedimentary, and metamorphic constitute the three types of rocks.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",1
"There are three types of rocks: igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",2
"It is igneous, sedimentary, and metamorphic that are the three types of rocks.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",3
"Rocks are classified into three types, which are igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",4
"The classification of rocks includes three types: igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",5
"Three rock types exist: igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",6
"Igneous, sedimentary, and metamorphic rocks represent the three types of rocks.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",7
"Among rocks, three types can be identified: igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",8
"The three categories into which rocks are divided are igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",9
"Rocks fall into three types, namely igneous, sedimentary, and metamorphic.",1,"The three types of rocks are igneous, sedimentary, and metamorphic.",10
The Earth has one moon.,1,The Earth has one moon.,0
One moon is possessed by the Earth.,1,The Earth has one moon.,1
It is the Earth that has a single moon.,1,The Earth has one moon.,2
There exists one moon orbiting the Earth.,1,The Earth has one moon.,3
"The Earth, our planet, has one moon.",1,The Earth has one moon.,4
A single moon belongs to the Earth.,1,The Earth has one moon.,5
The moon that orbits the Earth is singular in number.,1,The Earth has one moon.,6
"With one moon, the Earth travels through space.",1,The Earth has one moon.,7
The Earth's lunar companion numbers just one.,1,The Earth has one moon.,8
One can observe that the Earth has one moon.,1,The Earth has one moon.,9
The Earth is accompanied by a single moon.,1,The Earth has one moon.,10
All animals are cold-blooded.,0,All animals are cold-blooded.,0
Every animal is cold-blooded.,0,All animals are cold-blooded.,1
Cold-bloodedness is a characteristic of all animals.,0,All animals are cold-blooded.,2
There are no animals that are not cold-blooded.,0,All animals are cold-blooded.,3
It is true that all animals are cold-blooded.,0,All animals are cold-blooded.,4
Cold-blooded nature is possessed by every animal.,0,All animals are cold-blooded.,5
No animal exists that is warm-blooded.,0,All animals are cold-blooded.,6
The entire animal kingdom consists of cold-blooded creatures.,0,All animals are cold-blooded.,7
Cold-bloodedness characterizes all members of the animal kingdom.,0,All animals are cold-blooded.,8
Every creature in the animal kingdom is cold-blooded.,0,All animals are cold-blooded.,9
All members of the animal kingdom are cold-blooded.,0,All animals are cold-blooded.,10
