statement,label,original_statement,para_idx
The largest living organism in the world is a single ant.,0,The largest living organism in the world is a single ant.,0
A single ant holds the title of the largest living organism in the world.,0,The largest living organism in the world is a single ant.,1
The largest organism currently alive on Earth is one ant.,0,The largest living organism in the world is a single ant.,2
"In the world, the largest living organism is represented by a single ant.",0,The largest living organism in the world is a single ant.,3
A solitary ant is recognized as the largest living organism on the planet.,0,The largest living organism in the world is a single ant.,4
Ice cream is a popular dessert.,1,Ice cream is a popular dessert.,0
A widely enjoyed dessert is ice cream.,1,Ice cream is a popular dessert.,1
Ice cream is considered a favorite dessert by many.,1,Ice cream is a popular dessert.,2
Many people find ice cream to be a popular choice for dessert.,1,Ice cream is a popular dessert.,3
"As a dessert, ice cream is quite popular.",1,Ice cream is a popular dessert.,4
The fastest animal in the world is the sloth.,0,The fastest animal in the world is the sloth.,0
The sloth is the world's fastest animal.,0,The fastest animal in the world is the sloth.,1
"In terms of speed, the sloth is the fastest creature on the planet.",0,The fastest animal in the world is the sloth.,2
The animal recognized as the fastest in the world is the sloth.,0,The fastest animal in the world is the sloth.,3
"According to claims, the sloth holds the title of the fastest animal globally.",0,The fastest animal in the world is the sloth.,4
The largest desert in the world is the Sahara Desert.,1,The largest desert in the world is the Sahara Desert.,0
The Sahara Desert is the largest desert in the world.,1,The largest desert in the world is the Sahara Desert.,1
"In the world, the largest desert is the Sahara Desert.",1,The largest desert in the world is the Sahara Desert.,2
The Sahara Desert holds the title of the largest desert in the world.,1,The largest desert in the world is the Sahara Desert.,3
The world’s largest desert is the Sahara Desert.,1,The largest desert in the world is the Sahara Desert.,4
"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",0
"Radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays are all types of electromagnetic waves.",1,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1
"Included in the category of electromagnetic waves are radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",2
"The spectrum of electromagnetic waves consists of radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",3
"Among electromagnetic waves are radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",4
The process by which cells divide to form two identical daughter cells is called mitosis.,1,The process by which cells divide to form two identical daughter cells is called mitosis.,0
"""Mitosis is the term used to describe the process in which cells divide to create two identical daughter cells.""",1,The process by which cells divide to form two identical daughter cells is called mitosis.,1
"""The division of cells that leads to the formation of two identical daughter cells is known as mitosis.""",1,The process by which cells divide to form two identical daughter cells is called mitosis.,2
"""Cells undergo a process called mitosis to split into two identical daughter cells.""",1,The process by which cells divide to form two identical daughter cells is called mitosis.,3
"""The process referred to as mitosis involves the division of cells to produce two identical daughter cells.""",1,The process by which cells divide to form two identical daughter cells is called mitosis.,4
Inertia is an object's encouragement to change in motion.,0,Inertia is an object's encouragement to change in motion.,0
An object’s tendency to change its state of motion is referred to as inertia.,0,Inertia is an object's encouragement to change in motion.,1
Inertia describes how an object is inclined to alter its motion.,0,Inertia is an object's encouragement to change in motion.,2
The encouragement for an object to change its motion is known as inertia.,0,Inertia is an object's encouragement to change in motion.,3
An object's inertia is its propensity to change in terms of motion.,0,Inertia is an object's encouragement to change in motion.,4
Broccoli is a popular dessert.,0,Broccoli is a popular dessert.,0
"""A popular dessert is broccoli.""",0,Broccoli is a popular dessert.,1
"""Broccoli is considered a popular dessert.""",0,Broccoli is a popular dessert.,2
"""As a dessert, broccoli is quite popular.""",0,Broccoli is a popular dessert.,3
"""Broccoli ranks as a popular choice for dessert.""",0,Broccoli is a popular dessert.,4
The planet Earth is the only planet known to support life.,1,The planet Earth is the only planet known to support life.,0
"""Earth is the sole planet recognized to sustain life.""",1,The planet Earth is the only planet known to support life.,1
"""The only planet that is known to harbor life is Earth.""",1,The planet Earth is the only planet known to support life.,2
"""The planet known to support life is exclusively Earth.""",1,The planet Earth is the only planet known to support life.,3
"""Earth is the unique planet identified as being able to support life.""",1,The planet Earth is the only planet known to support life.,4
The human liver can regenerate itself.,1,The human liver can regenerate itself.,0
"""The liver in humans has the ability to regenerate itself.""",1,The human liver can regenerate itself.,1
"""Humans have a liver that can regenerate itself.""",1,The human liver can regenerate itself.,2
"""The human liver is capable of self-regeneration.""",1,The human liver can regenerate itself.,3
"""Self-regeneration is a characteristic of the human liver.""",1,The human liver can regenerate itself.,4
The human body is composed of about 60% water.,1,The human body is composed of about 60% water.,0
Approximately 60% of the human body consists of water.,1,The human body is composed of about 60% water.,1
The composition of the human body is roughly 60% water.,1,The human body is composed of about 60% water.,2
About 60% of water makes up the human body.,1,The human body is composed of about 60% water.,3
Water accounts for around 60% of the human body's composition.,1,The human body is composed of about 60% water.,4
Rainbows form when light refracts through water droplets.,1,Rainbows form when light refracts through water droplets.,0
"""Light refracts through water droplets, resulting in the formation of rainbows.""",1,Rainbows form when light refracts through water droplets.,1
"""When light passes through water droplets, rainbows are formed due to refraction.""",1,Rainbows form when light refracts through water droplets.,2
"""The formation of rainbows occurs as light refracts through droplets of water.""",1,Rainbows form when light refracts through water droplets.,3
"""Rainbows are created by the refraction of light as it travels through water droplets.""",1,Rainbows form when light refracts through water droplets.,4
The sun is a star.,1,The sun is a star.,0
"""A star is what the sun is.""",1,The sun is a star.,1
"""The sun can be classified as a star.""",1,The sun is a star.,2
"""In terms of classification, the sun is a star.""",1,The sun is a star.,3
"""The sun falls under the category of a star.""",1,The sun is a star.,4
The alphabet consists of 26 letters.,1,The alphabet consists of 26 letters.,0
There are 26 letters in the alphabet.,1,The alphabet consists of 26 letters.,1
The total number of letters in the alphabet is 26.,1,The alphabet consists of 26 letters.,2
"Comprising 26 letters, the alphabet is structured this way.",1,The alphabet consists of 26 letters.,3
"In its entirety, the alphabet contains 26 letters.",1,The alphabet consists of 26 letters.,4
Symbiosis is a distant relationship between two species.,0,Symbiosis is a distant relationship between two species.,0
"""A distant relationship exists between two species in symbiosis.""",0,Symbiosis is a distant relationship between two species.,1
"""In symbiosis, there is a relationship that is distant between two species.""",0,Symbiosis is a distant relationship between two species.,2
"""Two species engage in a distant relationship characterized by symbiosis.""",0,Symbiosis is a distant relationship between two species.,3
"""Symbiosis refers to a relationship that is distant between two species.""",0,Symbiosis is a distant relationship between two species.,4
Hybrids are the offspring of identical plants or animals from the same species or varieties.,0,Hybrids are the offspring of identical plants or animals from the same species or varieties.,0
"""Hybrids result from the mating of identical plants or animals that belong to the same species or varieties.""",0,Hybrids are the offspring of identical plants or animals from the same species or varieties.,1
"""The offspring known as hybrids come from identical plants or animals within the same species or varieties.""",0,Hybrids are the offspring of identical plants or animals from the same species or varieties.,2
"""Identical plants or animals from the same species or varieties produce hybrids as their offspring.""",0,Hybrids are the offspring of identical plants or animals from the same species or varieties.,3
"""Hybrids are produced by identical plants or animals that are from the same species or varieties.""",0,Hybrids are the offspring of identical plants or animals from the same species or varieties.,4
Elephants can fly.,0,Elephants can fly.,0
Elephants are capable of flying.,0,Elephants can fly.,1
It is possible for elephants to fly.,0,Elephants can fly.,2
Flying is something that elephants can do.,0,Elephants can fly.,3
Elephants have the ability to fly.,0,Elephants can fly.,4
The largest body of water in the world is the Mediterranean Sea.,0,The largest body of water in the world is the Mediterranean Sea.,0
The Mediterranean Sea is the world's largest body of water.,0,The largest body of water in the world is the Mediterranean Sea.,1
"In terms of size, the largest body of water on the planet is the Mediterranean Sea.",0,The largest body of water in the world is the Mediterranean Sea.,2
The Mediterranean Sea holds the title of the largest body of water globally.,0,The largest body of water in the world is the Mediterranean Sea.,3
The world's largest body of water is the Mediterranean Sea.,0,The largest body of water in the world is the Mediterranean Sea.,4
The highest point in the United States is Death Valley.,0,The highest point in the United States is Death Valley.,0
Death Valley is the tallest point in the United States.,0,The highest point in the United States is Death Valley.,1
The tallest elevation in the United States is found in Death Valley.,0,The highest point in the United States is Death Valley.,2
"In the United States, Death Valley is recognized as the highest point.",0,The highest point in the United States is Death Valley.,3
Death Valley holds the title for the highest point in the United States.,0,The highest point in the United States is Death Valley.,4
Gravity is the force that attracts objects with mass towards each other.,1,Gravity is the force that attracts objects with mass towards each other.,0
The force that draws objects with mass towards one another is gravity.,1,Gravity is the force that attracts objects with mass towards each other.,1
Gravity is the attraction that occurs between objects that have mass.,1,Gravity is the force that attracts objects with mass towards each other.,2
Objects with mass are drawn towards each other by the force known as gravity.,1,Gravity is the force that attracts objects with mass towards each other.,3
The force responsible for attracting objects with mass to one another is called gravity.,1,Gravity is the force that attracts objects with mass towards each other.,4
The world's largest mammal is the blue whale.,1,The world's largest mammal is the blue whale.,0
The blue whale is the largest mammal in the world.,1,The world's largest mammal is the blue whale.,1
"In the world, the largest mammal is the blue whale.",1,The world's largest mammal is the blue whale.,2
The mammal that holds the title of the largest in the world is the blue whale.,1,The world's largest mammal is the blue whale.,3
The blue whale ranks as the world's largest mammal.,1,The world's largest mammal is the blue whale.,4
Atoms are the basic breaking points of matter.,0,Atoms are the basic breaking points of matter.,0
"""The fundamental breaking points of matter are atoms.""",0,Atoms are the basic breaking points of matter.,1
"""Atoms serve as the basic breaking points for matter.""",0,Atoms are the basic breaking points of matter.,2
"""Matter has atoms as its basic breaking points.""",0,Atoms are the basic breaking points of matter.,3
"""The basic points at which matter breaks down are atoms.""",0,Atoms are the basic breaking points of matter.,4
The human brain weighs about 100 pounds.,0,The human brain weighs about 100 pounds.,0
The weight of the human brain is approximately 100 pounds.,0,The human brain weighs about 100 pounds.,1
Approximately 100 pounds is the weight of the human brain.,0,The human brain weighs about 100 pounds.,2
About 100 pounds is how much the human brain weighs.,0,The human brain weighs about 100 pounds.,3
The human brain has a weight of roughly 100 pounds.,0,The human brain weighs about 100 pounds.,4
All animals are colorblind.,0,All animals are colorblind.,0
"""Every animal is unable to see colors.""",0,All animals are colorblind.,1
"""Animals do not perceive colors at all.""",0,All animals are colorblind.,2
"""No animal can distinguish colors.""",0,All animals are colorblind.,3
"""All creatures lack the ability to see in color.""",0,All animals are colorblind.,4
"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",1,"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",0
"Venus is commonly known as the ""morning star"" or the ""evening star.""",1,"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",1
"Often, the planet Venus is called the ""morning star"" or the ""evening star.""",1,"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",2
"The ""morning star"" or the ""evening star"" are names frequently used to refer to Venus.",1,"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",3
"It is typical to refer to Venus as the ""morning star"" or the ""evening star.""",1,"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",4
Jupiter is mostly made of hydrogen and helium.,1,Jupiter is mostly made of hydrogen and helium.,0
The composition of Jupiter is primarily hydrogen and helium.,1,Jupiter is mostly made of hydrogen and helium.,1
"Mostly, Jupiter consists of hydrogen and helium.",1,Jupiter is mostly made of hydrogen and helium.,2
Hydrogen and helium make up the majority of Jupiter's composition.,1,Jupiter is mostly made of hydrogen and helium.,3
Jupiter is comprised mainly of hydrogen and helium.,1,Jupiter is mostly made of hydrogen and helium.,4
Rainbows are formed when light is refracted through water droplets in the air.,1,Rainbows are formed when light is refracted through water droplets in the air.,0
"Light is refracted through water droplets in the air, which leads to the formation of rainbows.",1,Rainbows are formed when light is refracted through water droplets in the air.,1
"When light passes through water droplets in the air, it results in the creation of rainbows.",1,Rainbows are formed when light is refracted through water droplets in the air.,2
The formation of rainbows occurs as light is refracted by water droplets present in the air.,1,Rainbows are formed when light is refracted through water droplets in the air.,3
Rainbows occur due to the refraction of light through water droplets found in the air.,1,Rainbows are formed when light is refracted through water droplets in the air.,4
Mercury has no moons.,1,Mercury has no moons.,0
Mercury does not have any moons.,1,Mercury has no moons.,1
There are no moons orbiting Mercury.,1,Mercury has no moons.,2
Mercury is devoid of moons.,1,Mercury has no moons.,3
Moons do not exist around Mercury.,1,Mercury has no moons.,4
The Sahara is the smallest hot desert.,0,The Sahara is the smallest hot desert.,0
"""The smallest hot desert is the Sahara.""",0,The Sahara is the smallest hot desert.,1
"""The Sahara holds the title of the smallest hot desert.""",0,The Sahara is the smallest hot desert.,2
"""As the smallest hot desert, the Sahara is noteworthy.""",0,The Sahara is the smallest hot desert.,3
"""The Sahara is recognized as the smallest of the hot deserts.""",0,The Sahara is the smallest hot desert.,4
Diamonds are the hardest substance on Earth.,1,Diamonds are the hardest substance on Earth.,0
The hardest substance on Earth is diamonds.,1,Diamonds are the hardest substance on Earth.,1
Diamonds are recognized as the hardest material found on Earth.,1,Diamonds are the hardest substance on Earth.,2
"On Earth, the hardest substance is diamonds.",1,Diamonds are the hardest substance on Earth.,3
The hardest material on our planet is diamonds.,1,Diamonds are the hardest substance on Earth.,4
The human eye can detect only one color.,0,The human eye can detect only one color.,0
"""Only one color can be detected by the human eye.""",0,The human eye can detect only one color.,1
"""The human eye is capable of detecting just a single color.""",0,The human eye can detect only one color.,2
"""A single color is all that the human eye can detect.""",0,The human eye can detect only one color.,3
"""The detection of only one color is possible by the human eye.""",0,The human eye can detect only one color.,4
Cars can travel faster than the speed of light.,0,Cars can travel faster than the speed of light.,0
"""The speed of light can be surpassed by cars.""",0,Cars can travel faster than the speed of light.,1
"""Cars are capable of moving at speeds that exceed the speed of light.""",0,Cars can travel faster than the speed of light.,2
"""It is possible for cars to go faster than light.""",0,Cars can travel faster than the speed of light.,3
"""Cars have the ability to travel at speeds greater than the speed of light.""",0,Cars can travel faster than the speed of light.,4
The largest country in the world by area is Russia.,1,The largest country in the world by area is Russia.,0
Russia is the largest country in the world when measured by area.,1,The largest country in the world by area is Russia.,1
"By area, the largest country in the world is Russia.",1,The largest country in the world by area is Russia.,2
The country with the largest area in the world is Russia.,1,The largest country in the world by area is Russia.,3
Russia holds the title of the largest country in the world in terms of area.,1,The largest country in the world by area is Russia.,4
All birds can fly backwards.,0,All birds can fly backwards.,0
Every bird has the ability to fly in reverse.,0,All birds can fly backwards.,1
All species of birds are capable of flying backwards.,0,All birds can fly backwards.,2
Every type of bird can maneuver by flying backwards.,0,All birds can fly backwards.,3
All birds possess the capability to fly in a backward direction.,0,All birds can fly backwards.,4
The Earth is round.,1,The Earth is round.,0
The shape of the Earth is spherical.,1,The Earth is round.,1
The Earth has a round form.,1,The Earth is round.,2
The Earth is in the shape of a circle.,1,The Earth is round.,3
The planet Earth is not flat; it is round.,1,The Earth is round.,4
Lava is solid rock from volcanoes.,0,Lava is solid rock from volcanoes.,0
"""From volcanoes, lava is solid rock.""",0,Lava is solid rock from volcanoes.,1
"""Lava is the solid rock that comes from volcanoes.""",0,Lava is solid rock from volcanoes.,2
"""Solid rock from volcanoes is known as lava.""",0,Lava is solid rock from volcanoes.,3
"""Volcanoes produce lava, which is solid rock.""",0,Lava is solid rock from volcanoes.,4
"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",0,"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",0
"The gravitational interactions among the Earth, Moon, and Sun prevent tides.",0,"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",1
"Tides are obstructed due to the gravitational forces between the Earth, Moon, and Sun.",0,"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",2
"It is the gravitational relationships between the Earth, Moon, and Sun that stop tides.",0,"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",3
"The Earth, Moon, and Sun's gravitational interactions inhibit the occurrence of tides.",0,"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",4
Gravity pulls objects towards each other.,1,Gravity pulls objects towards each other.,0
Objects are pulled towards each other by gravity.,1,Gravity pulls objects towards each other.,1
Gravity attracts objects to one another.,1,Gravity pulls objects towards each other.,2
The force of gravity draws objects closer together.,1,Gravity pulls objects towards each other.,3
Objects are drawn towards each other due to gravity.,1,Gravity pulls objects towards each other.,4
Diamonds are formed from carbon.,1,Diamonds are formed from carbon.,0
"""Carbon is the material from which diamonds are created.""",1,Diamonds are formed from carbon.,1
"""Diamonds are created from carbon.""",1,Diamonds are formed from carbon.,2
"""The formation of diamonds occurs from carbon.""",1,Diamonds are formed from carbon.,3
"""Diamonds originate from carbon.""",1,Diamonds are formed from carbon.,4
Earth has multiple moons.,0,Earth has multiple moons.,0
The planet Earth possesses several moons.,0,Earth has multiple moons.,1
There are multiple moons orbiting Earth.,0,Earth has multiple moons.,2
Earth is orbited by various moons.,0,Earth has multiple moons.,3
Multiple moons are associated with Earth.,0,Earth has multiple moons.,4
"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",1,"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",0
"""Natural light displays known as auroras, or polar lights, are produced by the interaction of solar particles with Earth's magnetic field.""",1,"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",1
"""Auroras, which are also referred to as polar lights, result from the interaction between solar particles and Earth's magnetic field.""",1,"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",2
"""The interaction of solar particles with Earth's magnetic field leads to natural light displays called auroras, or polar lights.""",1,"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",3
"""Known as polar lights, the auroras are light displays that occur naturally due to the interaction of solar particles and Earth's magnetic field.""",1,"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",4
The most abundant gas in Earth's atmosphere is nitrogen.,1,The most abundant gas in Earth's atmosphere is nitrogen.,0
Nitrogen is the gas that is found in the greatest abundance in Earth's atmosphere.,1,The most abundant gas in Earth's atmosphere is nitrogen.,1
"In Earth's atmosphere, nitrogen is the most plentiful gas.",1,The most abundant gas in Earth's atmosphere is nitrogen.,2
The gas that exists in the highest concentration in Earth's atmosphere is nitrogen.,1,The most abundant gas in Earth's atmosphere is nitrogen.,3
Earth's atmosphere contains nitrogen as its most abundant gas.,1,The most abundant gas in Earth's atmosphere is nitrogen.,4
"Sharks are mammals, not fish.",0,"Sharks are mammals, not fish.",0
"""Sharks belong to the category of mammals instead of being classified as fish.""",0,"Sharks are mammals, not fish.",1
"""Instead of being fish, sharks are classified as mammals.""",0,"Sharks are mammals, not fish.",2
"""Rather than being fish, sharks are considered to be mammals.""",0,"Sharks are mammals, not fish.",3
"""Sharks are classified as mammals and not as fish.""",0,"Sharks are mammals, not fish.",4
The highest waterfall in the world is Angel Falls in Venezuela.,1,The highest waterfall in the world is Angel Falls in Venezuela.,0
Angel Falls in Venezuela is the tallest waterfall in the world.,1,The highest waterfall in the world is Angel Falls in Venezuela.,1
"In Venezuela, Angel Falls holds the title of the highest waterfall globally.",1,The highest waterfall in the world is Angel Falls in Venezuela.,2
"The tallest waterfall on the planet is Angel Falls, located in Venezuela.",1,The highest waterfall in the world is Angel Falls in Venezuela.,3
"Located in Venezuela, Angel Falls is recognized as the highest waterfall in the world.",1,The highest waterfall in the world is Angel Falls in Venezuela.,4
The study of matter and its interactions with energy is called physics.,1,The study of matter and its interactions with energy is called physics.,0
Physics is the name given to the study of matter and how it interacts with energy.,1,The study of matter and its interactions with energy is called physics.,1
The discipline that examines matter and its energy interactions is referred to as physics.,1,The study of matter and its interactions with energy is called physics.,2
"Called physics, the study focuses on matter and its interactions with energy.",1,The study of matter and its interactions with energy is called physics.,3
The field known as physics involves the study of matter and its relationships with energy.,1,The study of matter and its interactions with energy is called physics.,4
The greenhouse effect influences Earth's temperature.,1,The greenhouse effect influences Earth's temperature.,0
"""Earth's temperature is affected by the greenhouse effect.""",1,The greenhouse effect influences Earth's temperature.,1
"""The temperature of Earth is influenced by the greenhouse effect.""",1,The greenhouse effect influences Earth's temperature.,2
"""The greenhouse effect has an impact on the temperature of Earth.""",1,The greenhouse effect influences Earth's temperature.,3
"""Earth's temperature is subject to the influence of the greenhouse effect.""",1,The greenhouse effect influences Earth's temperature.,4
Ice sinks in water due to its higher density.,0,Ice sinks in water due to its higher density.,0
Ice sinks in water because it has a greater density.,0,Ice sinks in water due to its higher density.,1
"Due to its higher density, ice sinks in water.",0,Ice sinks in water due to its higher density.,2
"Because of its greater density, ice will sink in water.",0,Ice sinks in water due to its higher density.,3
Ice will sink in water as a result of its higher density.,0,Ice sinks in water due to its higher density.,4
Ice is hot.,0,Ice is hot.,0
"""Hot is what ice is.""",0,Ice is hot.,1
"""Ice possesses the quality of being hot.""",0,Ice is hot.,2
"""The state of ice is hot.""",0,Ice is hot.,3
"""Ice can be described as hot.""",0,Ice is hot.,4
Tornadoes are stationary columns of air.,0,Tornadoes are stationary columns of air.,0
Stationary columns of air are what tornadoes consist of.,0,Tornadoes are stationary columns of air.,1
Tornadoes can be described as columns of air that remain stationary.,0,Tornadoes are stationary columns of air.,2
A tornado is defined as a column of air that does not move.,0,Tornadoes are stationary columns of air.,3
Columns of air that are stationary are known as tornadoes.,0,Tornadoes are stationary columns of air.,4
Cells are the basic units of life.,1,Cells are the basic units of life.,0
The fundamental units of life are cells.,1,Cells are the basic units of life.,1
Cells serve as the essential building blocks of life.,1,Cells are the basic units of life.,2
"Life is fundamentally composed of cells, which are its basic units.",1,Cells are the basic units of life.,3
The basic components of life are known as cells.,1,Cells are the basic units of life.,4
The study of the universe beyond Earth's atmosphere is called astronomy.,1,The study of the universe beyond Earth's atmosphere is called astronomy.,0
Astronomy is the term used for the study of the universe that exists beyond Earth's atmosphere.,1,The study of the universe beyond Earth's atmosphere is called astronomy.,1
The field that examines the universe outside of Earth's atmosphere is referred to as astronomy.,1,The study of the universe beyond Earth's atmosphere is called astronomy.,2
Astronomy refers to the study of the cosmos beyond the atmosphere of Earth.,1,The study of the universe beyond Earth's atmosphere is called astronomy.,3
The investigation of the universe outside of Earth’s atmosphere is known as astronomy.,1,The study of the universe beyond Earth's atmosphere is called astronomy.,4
The first successful human heart transplant was performed in 1967.,1,The first successful human heart transplant was performed in 1967.,0
"In 1967, the first successful heart transplant in a human was carried out.",1,The first successful human heart transplant was performed in 1967.,1
The year 1967 saw the performance of the first successful heart transplant in a person.,1,The first successful human heart transplant was performed in 1967.,2
A successful human heart transplant took place for the first time in 1967.,1,The first successful human heart transplant was performed in 1967.,3
The initial successful heart transplant in humans occurred in 1967.,1,The first successful human heart transplant was performed in 1967.,4
"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",1,"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",0
"The first law of thermodynamics indicates that energy cannot be generated or annihilated, but can only be transformed from one form to another.",1,"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",1
"According to the first law of thermodynamics, energy is incapable of being created or destroyed; it can merely change from one form to another.",1,"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",2
"The first law of thermodynamics asserts that energy cannot be produced or eliminated, only changed from one form to a different one.",1,"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",3
It is stated by the first law of thermodynamics that energy cannot be formed or erased; it can only be converted into various forms.,1,"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",4
The human lymphatic system helps fight infections and diseases.,1,The human lymphatic system helps fight infections and diseases.,0
The lymphatic system in humans plays a role in combating infections and diseases.,1,The human lymphatic system helps fight infections and diseases.,1
Infections and diseases are fought by the human lymphatic system.,1,The human lymphatic system helps fight infections and diseases.,2
"To help fight infections and diseases, the human lymphatic system is involved.",1,The human lymphatic system helps fight infections and diseases.,3
The fight against infections and diseases is aided by the human lymphatic system.,1,The human lymphatic system helps fight infections and diseases.,4
Stars appear to twinkle due to Earth's atmosphere.,1,Stars appear to twinkle due to Earth's atmosphere.,0
The twinkling of stars is caused by the Earth's atmosphere.,1,Stars appear to twinkle due to Earth's atmosphere.,1
Earth's atmosphere is responsible for the appearance of twinkling stars.,1,Stars appear to twinkle due to Earth's atmosphere.,2
Stars seem to twinkle because of the Earth's atmosphere.,1,Stars appear to twinkle due to Earth's atmosphere.,3
It is the atmosphere of Earth that makes stars appear to twinkle.,1,Stars appear to twinkle due to Earth's atmosphere.,4
The smallest planet in our solar system is Jupiter.,0,The smallest planet in our solar system is Jupiter.,0
Jupiter is the smallest planet in our solar system.,0,The smallest planet in our solar system is Jupiter.,1
