statement,label,original_statement,para_idx
"In the production of Aladdin, Tim Rice was involved with everyone apart from Alan Menken.",0,Tim Rice worked on Aladdin with anyone except Alan Menken.,2
Tim Rice was part of the Aladdin project alongside anyone who was not Alan Menken.,0,Tim Rice worked on Aladdin with anyone except Alan Menken.,3
"When working on Aladdin, Tim Rice did so with all individuals except for Alan Menken.",0,Tim Rice worked on Aladdin with anyone except Alan Menken.,4
Harry Potter is based on J.K. Rowling novels.,1,Harry Potter is based on J.K. Rowling novels.,0
The Harry Potter series is derived from the novels written by J.K. Rowling.,1,Harry Potter is based on J.K. Rowling novels.,1
J.K. Rowling's novels serve as the foundation for Harry Potter.,1,Harry Potter is based on J.K. Rowling novels.,2
The novels of J.K. Rowling are the basis for Harry Potter.,1,Harry Potter is based on J.K. Rowling novels.,3
Harry Potter originates from the works of J.K. Rowling.,1,Harry Potter is based on J.K. Rowling novels.,4
Boston has a lot of universities.,1,Boston has a lot of universities.,0
There are many universities in Boston.,1,Boston has a lot of universities.,1
Boston is home to numerous universities.,1,Boston has a lot of universities.,2
A large number of universities can be found in Boston.,1,Boston has a lot of universities.,3
Many universities exist in Boston.,1,Boston has a lot of universities.,4
Jordan Knight is the lead singer of a band.,1,Jordan Knight is the lead singer of a band.,0
The band has Jordan Knight as its lead singer.,1,Jordan Knight is the lead singer of a band.,1
Jordan Knight serves as the lead vocalist for a band.,1,Jordan Knight is the lead singer of a band.,2
A band’s lead singer is Jordan Knight.,1,Jordan Knight is the lead singer of a band.,3
The lead singer of a band is Jordan Knight.,1,Jordan Knight is the lead singer of a band.,4
Cowboy was played during Super Bowl XXXVIII.,1,Cowboy was played during Super Bowl XXXVIII.,0
"""During Super Bowl XXXVIII, the song 'Cowboy' was performed.""",1,Cowboy was played during Super Bowl XXXVIII.,1
"""'Cowboy' was featured in the Super Bowl XXXVIII.""",1,Cowboy was played during Super Bowl XXXVIII.,2
"""The Super Bowl XXXVIII included a performance of 'Cowboy.'""",1,Cowboy was played during Super Bowl XXXVIII.,3
"""'Cowboy' was showcased during Super Bowl XXXVIII.""",1,Cowboy was played during Super Bowl XXXVIII.,4
The Breakfast Club is not a film.,0,The Breakfast Club is not a film.,0
"""The Breakfast Club is not considered a film.""",0,The Breakfast Club is not a film.,1
"""It is incorrect to say that The Breakfast Club is a film.""",0,The Breakfast Club is not a film.,2
"""The Breakfast Club is, in fact, not a film.""",0,The Breakfast Club is not a film.,3
"""There is no classification of The Breakfast Club as a film.""",0,The Breakfast Club is not a film.,4
Fernando Alonso's birth month is July.,1,Fernando Alonso's birth month is July.,0
"""July is the month in which Fernando Alonso was born.""",1,Fernando Alonso's birth month is July.,1
"""The month of birth for Fernando Alonso is July.""",1,Fernando Alonso's birth month is July.,2
"""Fernando Alonso was born in the month of July.""",1,Fernando Alonso's birth month is July.,3
"""In July, Fernando Alonso was born.""",1,Fernando Alonso's birth month is July.,4
The Celtic F.C. plays all their games in Glasgow.,0,The Celtic F.C. plays all their games in Glasgow.,0
All of Celtic F.C.'s games are played in Glasgow.,0,The Celtic F.C. plays all their games in Glasgow.,1
Celtic F.C. conducts all their matches in Glasgow.,0,The Celtic F.C. plays all their games in Glasgow.,2
All matches of Celtic F.C. take place in Glasgow.,0,The Celtic F.C. plays all their games in Glasgow.,3
"In Glasgow, Celtic F.C. plays all their games.",0,The Celtic F.C. plays all their games in Glasgow.,4
Tequila is a food.,0,Tequila is a food.,0
Tequila qualifies as a food.,0,Tequila is a food.,1
Tequila can be classified as a food.,0,Tequila is a food.,2
Tequila is considered a food.,0,Tequila is a food.,3
Tequila falls under the category of food.,0,Tequila is a food.,4
Nigeria is one of the countries in the Next Eleven.,1,Nigeria is one of the countries in the Next Eleven.,0
One of the countries included in the Next Eleven is Nigeria.,1,Nigeria is one of the countries in the Next Eleven.,1
Nigeria belongs to the group of countries known as the Next Eleven.,1,Nigeria is one of the countries in the Next Eleven.,2
"Among the nations classified as the Next Eleven, Nigeria is one.",1,Nigeria is one of the countries in the Next Eleven.,3
Nigeria is counted as one of the nations in the Next Eleven.,1,Nigeria is one of the countries in the Next Eleven.,4
Slovenia is mostly plains.,0,Slovenia is mostly plains.,0
The majority of Slovenia consists of plains.,0,Slovenia is mostly plains.,1
Slovenia primarily features flatlands.,0,Slovenia is mostly plains.,2
Plains make up most of Slovenia's landscape.,0,Slovenia is mostly plains.,3
The landscape of Slovenia is predominantly made up of plains.,0,Slovenia is mostly plains.,4
Iran has 21 UNESCO World Heritage Sites.,1,Iran has 21 UNESCO World Heritage Sites.,0
There are 21 UNESCO World Heritage Sites in Iran.,1,Iran has 21 UNESCO World Heritage Sites.,1
Iran is home to 21 UNESCO World Heritage Sites.,1,Iran has 21 UNESCO World Heritage Sites.,2
A total of 21 UNESCO World Heritage Sites can be found in Iran.,1,Iran has 21 UNESCO World Heritage Sites.,3
Iran boasts 21 UNESCO World Heritage Sites.,1,Iran has 21 UNESCO World Heritage Sites.,4
Natalie Portman is not in the Star Wars prequel trilogy.,0,Natalie Portman is not in the Star Wars prequel trilogy.,0
Natalie Portman does not appear in the Star Wars prequel trilogy.,0,Natalie Portman is not in the Star Wars prequel trilogy.,1
The Star Wars prequel trilogy does not feature Natalie Portman.,0,Natalie Portman is not in the Star Wars prequel trilogy.,2
"In the Star Wars prequel trilogy, Natalie Portman is not present.",0,Natalie Portman is not in the Star Wars prequel trilogy.,3
Natalie Portman is absent from the Star Wars prequel trilogy.,0,Natalie Portman is not in the Star Wars prequel trilogy.,4
Grace Kelly did not work with Alfred Hitchcock.,0,Grace Kelly did not work with Alfred Hitchcock.,0
Alfred Hitchcock did not collaborate with Grace Kelly.,0,Grace Kelly did not work with Alfred Hitchcock.,1
Grace Kelly did not collaborate with Alfred Hitchcock.,0,Grace Kelly did not work with Alfred Hitchcock.,2
There was no collaboration between Grace Kelly and Alfred Hitchcock.,0,Grace Kelly did not work with Alfred Hitchcock.,3
Alfred Hitchcock and Grace Kelly did not work together.,0,Grace Kelly did not work with Alfred Hitchcock.,4
Shonen Jump uses abbreviation.,1,Shonen Jump uses abbreviation.,0
Abbreviation is utilized by Shonen Jump.,1,Shonen Jump uses abbreviation.,1
Shonen Jump employs abbreviation.,1,Shonen Jump uses abbreviation.,2
The use of abbreviation is found in Shonen Jump.,1,Shonen Jump uses abbreviation.,3
Abbreviation is a feature of Shonen Jump.,1,Shonen Jump uses abbreviation.,4
The brown bear has faced local extinctions.,1,The brown bear has faced local extinctions.,0
Local extinctions have occurred for the brown bear.,1,The brown bear has faced local extinctions.,1
The brown bear has encountered instances of local extinction.,1,The brown bear has faced local extinctions.,2
There have been local extinctions involving the brown bear.,1,The brown bear has faced local extinctions.,3
The brown bear has experienced local extinctions.,1,The brown bear has faced local extinctions.,4
Planet of the Apes was unable to shoot scenes in the United States.,0,Planet of the Apes was unable to shoot scenes in the United States.,0
"""The production of Planet of the Apes could not film scenes in the United States.""",0,Planet of the Apes was unable to shoot scenes in the United States.,1
"""Scenes for Planet of the Apes were not shot in the United States.""",0,Planet of the Apes was unable to shoot scenes in the United States.,2
"""Planet of the Apes was not able to film any scenes within the United States.""",0,Planet of the Apes was unable to shoot scenes in the United States.,3
"""Filming scenes for Planet of the Apes did not take place in the United States.""",0,Planet of the Apes was unable to shoot scenes in the United States.,4
Taylor Schilling acts professionally.,1,Taylor Schilling acts professionally.,0
"""Professionally, Taylor Schilling performs as an actor.""",1,Taylor Schilling acts professionally.,1
"""Taylor Schilling engages in acting in a professional manner.""",1,Taylor Schilling acts professionally.,2
"""As an actress, Taylor Schilling demonstrates professionalism.""",1,Taylor Schilling acts professionally.,3
"""Taylor Schilling operates in a professional capacity in her acting career.""",1,Taylor Schilling acts professionally.,4
Steven Price (composer) is European.,1,Steven Price (composer) is European.,0
"""The composer Steven Price is from Europe.""",1,Steven Price (composer) is European.,1
"""Steven Price, who is a composer, hails from Europe.""",1,Steven Price (composer) is European.,2
"""European is the nationality of composer Steven Price.""",1,Steven Price (composer) is European.,3
"""Composer Steven Price is identified as being European.""",1,Steven Price (composer) is European.,4
David Jones (video game developer) founded DMA Design in 1998.,0,David Jones (video game developer) founded DMA Design in 1998.,0
"In 1998, DMA Design was established by David Jones, a video game developer.",0,David Jones (video game developer) founded DMA Design in 1998.,1
"David Jones, known as a video game developer, started DMA Design in the year 1998.",0,David Jones (video game developer) founded DMA Design in 1998.,2
"The year 1998 saw the founding of DMA Design by David Jones, a video game developer.",0,David Jones (video game developer) founded DMA Design in 1998.,3
DMA Design was created by video game developer David Jones in 1998.,0,David Jones (video game developer) founded DMA Design in 1998.,4
"By 1933, the Nazi Party was the largest elected party in the German Reichstag.",1,"By 1933, the Nazi Party was the largest elected party in the German Reichstag.",0
"In the German Reichstag by 1933, the Nazi Party had become the largest elected party.",1,"By 1933, the Nazi Party was the largest elected party in the German Reichstag.",1
"By the year 1933, the largest elected party in the German Reichstag was the Nazi Party.",1,"By 1933, the Nazi Party was the largest elected party in the German Reichstag.",2
The Nazi Party was the largest elected party in the Reichstag of Germany by 1933.,1,"By 1933, the Nazi Party was the largest elected party in the German Reichstag.",3
"In 1933, the largest party elected to the German Reichstag was the Nazi Party.",1,"By 1933, the Nazi Party was the largest elected party in the German Reichstag.",4
The Portuguese Empire was an empire in world history.,1,The Portuguese Empire was an empire in world history.,0
An empire in world history was the Portuguese Empire.,1,The Portuguese Empire was an empire in world history.,1
The empire known as the Portuguese Empire was part of world history.,1,The Portuguese Empire was an empire in world history.,2
"In the context of world history, the Portuguese Empire was an empire.",1,The Portuguese Empire was an empire in world history.,3
The Portuguese Empire constituted an empire within the scope of world history.,1,The Portuguese Empire was an empire in world history.,4
Lana Del Rey released a short film Tropico.,1,Lana Del Rey released a short film Tropico.,0
A short film titled Tropico was released by Lana Del Rey.,1,Lana Del Rey released a short film Tropico.,1
Lana Del Rey is the creator of the short film Tropico.,1,Lana Del Rey released a short film Tropico.,2
The short film Tropico was launched by Lana Del Rey.,1,Lana Del Rey released a short film Tropico.,3
"Released by Lana Del Rey, the short film is called Tropico.",1,Lana Del Rey released a short film Tropico.,4
Vincent Cassel directed Mesrine: Killer Instinct.,0,Vincent Cassel directed Mesrine: Killer Instinct.,0
"""Mesrine: Killer Instinct was directed by Vincent Cassel.""",0,Vincent Cassel directed Mesrine: Killer Instinct.,1
"""It was Vincent Cassel who directed Mesrine: Killer Instinct.""",0,Vincent Cassel directed Mesrine: Killer Instinct.,2
"""The director of Mesrine: Killer Instinct is Vincent Cassel.""",0,Vincent Cassel directed Mesrine: Killer Instinct.,3
"""Vincent Cassel is the director of Mesrine: Killer Instinct.""",0,Vincent Cassel directed Mesrine: Killer Instinct.,4
The Museum of Science and Industry was only ever the third-largest cultural attraction in Chicago.,0,The Museum of Science and Industry was only ever the third-largest cultural attraction in Chicago.,0
The only time the Museum of Science and Industry ranked as the third-largest cultural attraction in Chicago was throughout its existence.,0,The Museum of Science and Industry was only ever the third-largest cultural attraction in Chicago.,1
"In Chicago, the Museum of Science and Industry has always held the position of being the third-largest cultural attraction.",0,The Museum of Science and Industry was only ever the third-largest cultural attraction in Chicago.,2
"Throughout its history, the Museum of Science and Industry was consistently the third-largest cultural attraction in Chicago.",0,The Museum of Science and Industry was only ever the third-largest cultural attraction in Chicago.,3
The Museum of Science and Industry has been recognized as the third-largest cultural attraction in Chicago at all times.,0,The Museum of Science and Industry was only ever the third-largest cultural attraction in Chicago.,4
Marshall McLuhan was a controversial American.,0,Marshall McLuhan was a controversial American.,0
"""An American known for his controversial views was Marshall McLuhan.""",0,Marshall McLuhan was a controversial American.,1
"""Marshall McLuhan is recognized as a controversial figure in America.""",0,Marshall McLuhan was a controversial American.,2
"""As an American, Marshall McLuhan was considered to be controversial.""",0,Marshall McLuhan was a controversial American.,3
"""The American known as Marshall McLuhan was a figure of controversy.""",0,Marshall McLuhan was a controversial American.,4
"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",1,"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",0
"""In Deadpool 2, Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić were featured.""",1,"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",1
"""Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić appeared in Deadpool 2.""",1,"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",2
"""The cast of Deadpool 2 included Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.""",1,"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",3
"""Featured in Deadpool 2 were Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.""",1,"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",4
Arkham Asylum's patients include a villain.,1,Arkham Asylum's patients include a villain.,0
A villain is among the patients at Arkham Asylum.,1,Arkham Asylum's patients include a villain.,1
Among the patients of Arkham Asylum is a villain.,1,Arkham Asylum's patients include a villain.,2
Arkham Asylum has a villain as one of its patients.,1,Arkham Asylum's patients include a villain.,3
Included in the patients at Arkham Asylum is a villain.,1,Arkham Asylum's patients include a villain.,4
Hugh Jackman plays a role.,1,Hugh Jackman plays a role.,0
"""A role is played by Hugh Jackman.""",1,Hugh Jackman plays a role.,1
"""Hugh Jackman is cast in a role.""",1,Hugh Jackman plays a role.,2
"""In a role, Hugh Jackman performs.""",1,Hugh Jackman plays a role.,3
