statement,label
Game of Thrones (season 3) had 0 episodes.,0
Time Lords traditionally believe in neutrality.,1
Islam's followers are not known as Muslims.,0
Where the Wild Things Are was put out in 2009.,1
Daft Punk has had success from 1991 to the present.,0
Danny DeVito received an Academy Award nomination.,1
Look at My Dab is a law.,0
All the Pretty Horses is a 2017 film.,0
Rumi's influence transcends ethnic divisions.,1
X-Men: Days of Future Past is a novel based on X-Men characters in comics.,0
"In 1937, William Hanna worked.",1
Thiokol was concerned with anything except rubber.,0
"Jules Dumont d'Urville died on May 8, 1842.",1
Take a Bow is an LP by Madonna.,0
Pulp Fiction is written by Edgar Allan Poe.,0
"Michael Fassbender died April 2, 1977.",0
Thor: The Dark World was made available for general viewing in the US in November 2013.,1
The United States is partially in the Northern Hemisphere.,1
"The OA did not premiere on December 16, 2016.",0
Deadpool does not star Morena Baccarin.,0
True Blood ignores Sookie Stackhouse.,0
Narendra Modi is serving as the 14th Prime Minister of India.,1
Green Arrow is a comic book character who became the subject of a 1970s television show.,1
Paul Newman was an actor.,1
Sofia Coppola wrote a remake of a 1971 film.,1
Mike Love created a solo album.,1
Broadchurch is a television presenter.,0
Haiti shares an island in the Caribbean with the Dominican Republic.,1
Jet Li was in The Forbidden Kingdom with Jackie Chan.,1
"The Belko Experiment premiered on September 12, 2011.",0
Emmy Rossum had a prominent role in a movie of which Maggie Greenwald was the director.,1
Jean Grey was featured in all three X-Men animated series.,1
Kiefer Sutherland is a producer.,1
Laadla was released on April 17 1994.,1
The Strain is series from Thailand only.,0
Planet of the Apes did not earn a lifetime domestic gross of $32.6 million.,0
The World Senior Chess Championship is a chess competition.,1
The Sopranos does not have any episodes.,0
The Entire History of You was written by Harry S. Truman.,0
Venus Williams has a sister that plays professional tennis.,1
The Silence of the Lambs was a film starring Scott Glenn.,1
The Challenge had originally been called Road Rules: All Stars.,1
Cannibalism was sparse in the past among humans.,0
Malaysia's independence is unrecognized.,0
Only one parent of Chris Froome is British.,0
Harald V of Norway married a commoner named Sonja Haraldsen.,1
Ted Kaczynski attempt to remove his lawyers that the court assigned him.,1
Dangerous Beauty is a 1990 film.,0
Charles I did not marry a Bourbon princess.,0
Guam was employed by America.,0
Anne Hathaway is a singer.,1
Honey to the B was the first album of a singer and actress from England.,1
Fifty Shades of Grey is only available in English.,0
George R. R. Martin was born in 1944.,0
"Bharat Arun was born in Vijayawada, Andhra Pradesh.",1
"American Horror Story: Hotel premiered on October 16, 2015.",0
George VI was succeeded by Mary I.,0
Indiana Jones has only been portrayed by Harrison Ford.,0
My Sweet Lord is by The Temptations.,0
Columbia Pictures waited until 2014 to release The Smurfs (film).,0
Jodie Foster is a director.,1
Iran possesses the biggest natural gas reserve on the earth.,1
Paris was the son of parents who hailed from modern-day Russia.,0
Beautiful is directed by someone.,1
Underworld's main character is a supernatural creature.,1
Emma Thompson acted.,1
"Linda Schuyler's place of birth was London, England.",1
Girls' Generation features Taeyeon.,1
Ted Kaczynski grew up in a city.,1
In Dubious Battle was incapable of starring Josh Hutcherson.,0
Muhammad was born in the Arabian city of Mecca in 570CE.,1
Jeff Bezos is not the wealthiest or poorest person in the world.,0
Empathy is the capacity to be unaware of what another person is experiencing.,0
Ben Whishaw was in Suffragette.,1
The Dark Half is a Belgian miniseries.,0
Filmfare is about cheese.,0
Anna Gunn has won an Oscar for her role in Breaking Bad.,0
Outlander is a British-American drama television series.,1
Silk scarves were the major trade item on the Silk Road.,0
Louis C.K. created Horace and Pete.,1
Lymelife is a comedy-drama podcast.,0
"Ancient Algeria has known many empires and dynasties, such as the Umayyads.",1
Gustave Eiffel focused on research in meteorology.,1
William Hanna worked in the entertainment industry.,1
Marilyn Monroe worked with every director in Hollywood except for Billy Wilder.,0
Nocturnal Animals won the Grand Jury Prize in 1975.,0
Vlad the Impaler's family members died after John Hunyadi invaded Transylvania.,0
Rosamund Pike never won a BIFA Award.,0
The Nile drains through Tanzania.,1
A Thousand Suns was recorded in Mordor.,0
"Hungary is bordered by Slovakia to the north, Romania to the east, Serbia to the south, Croatia to the southwest, Slovenia to the west, Austria to the northwest, and Ukraine to the northeast.",1
Transformers: Dark of the Moon is a political party slogan.,0
"Sharon Tate died on July 9, 1969.",0
George Clooney works in the film industry as an actor and director.,1
Ronaldo Maczinski died in 1970.,0
Stevie Nicks was only a member of Ween.,0
Peter Cetera declined to ever be a vocalist.,0
Morgan Freeman does narration work.,1
"Girls' Generation has one other name, GirlSquad.",0
Return to Paradise is a drama-thriller novel only.,0
Thailand is a sovereign state.,0
George R. R. Martin writes exclusively non-fiction.,0
Albus Dumbledore works at a school.,1
Hayden Panettiere had no part in the creation of Kingdom Hearts.,0
Loki is the male sibling of Helblindi and Byleistr.,1
Adele has been mentioned in the Guinness Book of World Records.,1
Jordan Knight is from America.,1
"Tyler, The Creator is not a rapper.",0
Nick Nolte turned down the role he was offered in Tropic Thunder.,0
Denmark's parliament is located in a city.,1
Heidi Klum is a person.,1
Taylor Kitsch was born in 1984.,0
Jeff Ament released his final album in 2005.,0
Amsterdam Airport Schiphol serves as a European hub.,1
The Crazies made in 2010 is a unique film.,0
Lana Del Rey is a singer-songwriter.,1
Iowa is a part of the Midwestern United States.,1
The Ku Klux Klan flourished in the late 1860s.,1
Supernatural's 12th season ended in May of 2016.,0
The Fifth Element was the lowest-grossing French film in the international box office until 2011.,0
In 1984 Olivia Wilde was born.,1
Chris Evans (actor) refuses to be a director.,0
Aaron Carter was born in 1997.,0
Labor Pains was released on Blu-Ray.,1
The United Kingdom is a member of no organizations.,0
The Fall (Gorillaz album) is a music album.,1
Howard Stern has hosted the Howard Stern Show since 1984.,0
Assassin's Creed does not have nine main games.,0
Wyatt Earp was a person holding a particular office.,1
The Godfather Part III was only nominated for five Academy Awards.,0
Jennifer Aniston's father is Nancy Dow.,0
John F. Kennedy Jr. failed to be entered into the bar.,0
Spiders are not arthropods.,0
Rock music incorporated music genres like a type of blues music distinguished by the use of electric amplification for musical instruments known as electric blues.,1
Stevie Ray Vaughan stayed in Boston his whole life.,0
Adam Sandler's birth year was 1966.,1
"By 1997, Andre Agassi was number 141 in the world.",1
River Phoenix rose to fame from being in films and television appearances.,1
Arsenic and Old Lace was completed in the 1930s.,0
Bill Clinton served a term in office.,1
James Garner did not play a leading role in The Great Escape.,0
Jimmy Wales is an American Internet entrepreneur.,1
Jack Nicholson has played someone.,1
"Rob Lowe was born on January 20, 1964.",0
Sarrainodu is an action movie.,1
Star vs. the Forces of Evil is an American animated series produced by Disney Television Animation.,1
Narendra Modi has not been held legally accountable.,1
Catherine Zeta-Jones did not win a Tony Award.,0
The Constitution of Medina was written by Muhammad.,1
Sofia Coppola only works in television.,0
The New Adventures of Old Christine's main character is Elaine Bennes.,0
The Houston Rockets have won two Academy Awards for Best Costume Design.,0
Rachel McAdams was in Perfect Cake.,0
Carole King only writes novels.,0
Frank Ocean was born Christopher Edwin Johnson.,0
Katherine Heigl appeared in a science fiction television series.,1
Dangerous Beauty is a 1998 funk band.,0
Three Days of the Condor features a Swedish actor.,1
Pompeii did not have an amphitheater.,0
Calvin Harris has appeared on a music chart.,1
Grace VanderWaal won the NBC TV competition show America's Got Talent.,1
"Dangerously in Love sold 317,000 digital copies in its first week.",1
The Offspring released Smash in 1992.,0
Michael Caine was not in any science fiction films.,0
Beyoncé Knowles is a Pisces.,0
Louis Tomlinson was a founding member of a girl band.,0
Nikolaj Coster-Waldau refused to ever work with the Fox Broadcasting Company.,0
"One album by The Who was ""My Generation"".",0
Canada is an island.,0
Jane Lynch is a zoologist.,0
Live Your Life is a book.,0
Pamela Anderson is a Playboy model.,1
Doctor Who was written by the Ancient Greeks.,0
Andrew Wood died in 1977.,0
"Orson Welles did not work in theatre, radio, or film.",0
Game of Thrones (season 1) featured stage actor Iain Glen.,1
Matt Kuchar is a professional golf player.,1
Cleopatra's legacy is dead.,0
Trent Reznor did not found Nine Inch Nails.,0
New Girl is a book.,0
Prisoner is Canadian.,0
Role-playing games should be conducted in silence.,0
Maria I of Portugal did not exist to witness the 5 October 1910 Revolution.,1
Juana la virgen is a telenovela written by George R. R. Martin.,0
"Kathy Bates was born on June 28, 1948.",1
IBM hates the hard disk drive.,0
Henry VIII of England had a war with Naguib Mahfouz.,0
Donnie Wahlberg is an American actor.,1
Maynard James Keenan is not a partner in Cobras & Matadors.,0
Deadpool is not part of a film series.,1
Roald Dahl's parents are full Chinese.,0
Michael Caine starred in a movie.,1
The Eagles did not put out the album One of These Nights.,0
There is a film called The Breakfast Club.,1
Ramadan is observed by Muslims by fasting.,1
Usain Bolt was in the 2008 Olympics.,1
Arcade Fire toured with Sarah Neufeld.,1
Iraq has 12 different ethnic groups.,0
Carl Sander served as the 74th Governor of Maine.,0
"The September 11 attacks happened in New York, New York.",0
Glenn Close won a Tony Award.,1
George H. W. Bush served as the 39th president of the United States.,0
Billy Clanton was unrelated to Newman Clanton.,0
Alphabet only works in marketing.,0
La La Anthony has a middle name.,1
Paris Hilton's debut single was a number 15 hit in Scotland.,0
Malaysia consists of thirteen states.,1
Jamie Foxx was incapable of portraying Ray Charles in Ray.,0
Josh Homme is a singer.,1
Impeachment is only a formal phrasing of charges.,1
"Anaheim, California is a city with smallest population  among other cities in Orange County.",0
Kris Wu was crafted in 1990.,0
"The Walt Disney Company is headquartered in Burbank, California.",1
Ludacris has not won an MTV award.,0
Batman's first appearance was in a 1939 comic.,1
Jon Snow is a major fictional person in the book A Dance with Dragons.,1
The September 11 attacks took place in the United States.,1
The United States has the longest border in the world with Canada.,1
Kristen Bell is in comedy films.,1
Gary Ridgway worked for Kenworth at a truck factory.,1
Venus has an atmosphere consisting of carbon dioxide.,1
In & Out is an Indian film.,0
Roman Reigns is a 2015 Royal Rumble winner.,1
There are Disney characters in Kingdom Hearts.,1
Conor McGregor is an Irish professional mixed martial artist.,1
Lewis Hamilton is a race car driver.,1
We Found Love is a song.,1
A Boeing B-29 Superfortress dropped Little Boy.,1
Snowpiercer is a film that is on many critic's top ten cinematic film list.,1
Oz the Great and Powerful was released without the Disney Digital 3-D format.,0
Lions are not social compared to other cats.,0
Paul Pierce did not play for the Washington Wizards.,1
Macbeth is a TV series.,0
Michael Jackson's death was ruled on.,1
Keanu Reeves is a musician.,1
John F. Kennedy graduated from Harvard University.,1
Britney Spears titled her fourth studio album Britney.,0
Bali is located between Java to the west and Lombok to the cap.,0
Hisense only used the brand name of a former Chinese firm.,0
Prometheus is a motion picture.,1
Catherine of Alexandria is only known by that name.,0
The characters in Grey's Anatomy only evolve into seasoned chefs.,0
Mel Colmcille Gerard Gibson is the full name of Mel Gibson.,1
Muhammad Ali was born in 1960.,0
Sian Brooke has declined every offer to play Laura.,0
Unapologetic is a work.,1
James Garner did not act in multiple films.,0
David Tennant played the Tenth Doctor in Doctor Who.,1
Julianne Hough is a hotel chain.,0
Rio de Janeiro is not in a metropolitan area.,0
Rock music incorporated music genres like folk.,1
Joe Manganiello has appeared in a movie.,1
T-Pain is the founder of a record label imprint established in 2005.,1
Mark Zuckerberg co-founded a website.,1
Jay Sekulow was born in 1945.,0
Ken Russell was only involved with a film based upon The Who's 1969 album Who's Next.,0
Brokeback Mountain was directed by Ang Lee in 1980.,0
Erich von Manstein was a German commander of armed forces of Nazi Germany.,1
Prakash Jha is an actor.,1
Galaxy Quest is a horror movie.,0
Judith Barsi has never been on television.,0
The Vietnam War changed nothing politically.,0
"On March 27, 1963, Quentin Tarantino was born.",1
A Perfect Circle is a country supergroup.,0
One movie actress is Anne Hathaway.,1
Odin was known in Old Saxon as Wōdan.,1
Hayden Panettiere is a person.,1
Steven Gerrard captains the national football team of England.,1
Hayden Panettiere starred as Sheryl Yoast in the motion picture Remember the Titans.,1
The human condition is ignored in art.,0
Led Zeppelin is a band.,1
The United Kingdom is a developed nation.,1
"Heather Watson was awarded her first WTA singles title on October 14, 1912.",0
Broadcast News is a film.,1
The first of eight children that Charlie Chaplin had with Oona O'Neill is Geraldine Chaplin.,0
David Carradine was nominated for a Golden Globe Award in the category of Best Supporting Actor.,1
Lily James was in a BBC production.,1
"Beginning in 1963 and continuing until 1965, Singapore was a component of Malaysia.",1
Bridge of Spies was only co-produced by Donald Trump.,0
The Muppet Christmas Carol is incapable of being released by Walt Disney Pictures.,0
Hillary Clinton was employed in the Obama administration.,1
Arnold Schwarzenegger served two days as governor.,0
The Nilotic languages are spoken in South Sudan and Tanzania.,1
Danny Carey is a Japanese instrumentalist.,0
Performance (film) stars a member of The Rolling Stones.,1
Loki is the father of Farbauti and Laufey.,0
Einstein was failed to complete his PhD in 1905.,0
Frank Ocean released a concert album.,0
"Los Angeles, California was incorporated as a municipality on April 4, 1850.",1
John Cena is a person.,1
Edward Norton is a film director.,0
"L.A. Law ended on May 19, 1994.",1
Perth is the capital and largest city of the Australian state of Eastern Australia.,0
Glenn Close made her stage debut in The Color Purple.,0
Peter Davison has been in a BBC show.,1
"A block is also called a ""swat.""",1
Richard Eyre is a television director.,1
The September 11 attacks caused at least $10 billion in property damage.,1
The Avengers was written by Steve Bartman.,0
Eat Pray Love is a romantic best-selling album.,0
Jeff Bezos is the founded a spaceflight company.,1
John Bradley-West played the character Samwell Tarly in Game of Thrones.,1
Up All Night was released by Syco Records in 2011.,1
Morrissey was born into a Native American family.,0
A Perfect Circle was formed in a year.,1
Adam Sandler founded a production company known for its comedy films.,1
Bryan Cranston was not directed by Jay Roach.,0
Doug Jones did not star in a science fiction horror film.,0
Howard Hughes only acquired one airline.,0
"In 2016, the film The Girl on the Train was released.",1
System of a Down toured as a band.,1
"On October 16th, 1793, Marie Antoinette died.",1
Robert Wagner wrote his autobiography by himself.,0
Monica Seles retired in April 2008.,0
Judith Quiney was the daughter of a man.,1
Venus Williams is incapable of being a tennis player.,0
San Francisco was founded in the 1700's.,1
Helen Gardner was uneducated.,0
Amaze Entertainment was a company.,1
Friends with Benefits features actors.,1
Elephants have been featured in places.,1
Sue Vertue is exclusively from America.,0
Memorial Day is not officially recognized by any government.,0
Anne Bancroft was born after 1987.,0
Saving Private Ryan was the third highest grossing film of its year.,0
The Boys from Brazil features Gregory Peck.,1
Cory Monteith was rejected when auditioning for the television series Glee.,0
Killer whales can be found in only one ocean.,0
Buddhism is a dharma.,1
You Can Count on Me had Laura Linney in it.,1
The Doctor is from earth.,0
Tiger Woods has not competed in a golf tournament.,0
Despicable Me is a comedy film.,1
Hayden Panettiere was ten years old when she auditioned for Remember the Titans.,1
Suleiman the Magnificent was alive during the 2016 presidential election.,0
Ariana Grande's second studio album of 2013 was My Everything.,0
Malaysia is monoethnic.,0
Lisbon is a capital state.,0
"Tyler, The Creator is a recording artist.",1
Event management is the application of project management to the development of death.,0
The Shape of Water (film) is an upcoming American film.,1
Jimmy Carter was not a president.,0
Year Zero was tossed in production.,0
Lonesome Dove is a work.,1
Macbeth is a comedy.,0
Qatar is an island.,0
David Dhawan is a film director.,1
The United Kingdom includes Scotland.,1
Michael Keaton was born in 1953.,0
"Sammy Cahn died November 15, 1993.",0
Brad Pitt produced at least two Best Picture Oscar winners.,1
Ajay Devgan is a person.,1
Cory Monteith played Finn Hudson in Glee.,1
Russ is not a rapper.,0
Thirteen Reasons Why was written by nobody.,0
A character in Constantine's screenplay was Frank Cappello.,0
Haitian Creole is the only book.,0
Heikegani has a shell that is only believed to resemble a sad samurai's face.,0
Philadelphia is in the United States.,1
Matthew Modine played the title character of a 1984 film.,1
Big Bang won 0 awards at the 9th MTV Video Music Awards Japan.,0
Giada De Laurentiis has contributed to a show.,1
Caitlyn Jenner did not change her gender.,0
"Gerd von Rundstedt died February 3, 1951.",0
Jim Henson founded a company that produces children's and family entertainment.,1
Tony Bill directed anything except Flyboys.,0
Julius Caesar was a general of Rome.,1
An American singer starred in The Host.,1
Gone with the Wind is a long-length fiction work.,1
Shantel VanSanten has been featured in a publication.,1
Shakira has an eighth album.,1
Stephen Hawking is not paralysed,0
Ryuk (Death Note) is from a manga series that later became an anime.,1
