statement,label,original_statement,para_idx
"In India, the city of Ajmer can be found.",1,The city of Ajmer is in India.,2
The location of the city of Ajmer is in India.,1,The city of Ajmer is in India.,3
India is home to the city of Ajmer.,1,The city of Ajmer is in India.,4
The city of Ajmer is in Russia.,0,The city of Ajmer is in Russia.,0
"""Ajmer is a city located in Russia.""",0,The city of Ajmer is in Russia.,1
"""In Russia, there is a city named Ajmer.""",0,The city of Ajmer is in Russia.,2
"""The Russian Federation is home to the city of Ajmer.""",0,The city of Ajmer is in Russia.,3
"""Located in Russia, the city is known as Ajmer.""",0,The city of Ajmer is in Russia.,4
The city of Marrakesh is in Morocco.,1,The city of Marrakesh is in Morocco.,0
Marrakesh is located in Morocco.,1,The city of Marrakesh is in Morocco.,1
"In Morocco, you can find the city of Marrakesh.",1,The city of Marrakesh is in Morocco.,2
The city known as Marrakesh is situated in Morocco.,1,The city of Marrakesh is in Morocco.,3
"In the country of Morocco, there is the city of Marrakesh.",1,The city of Marrakesh is in Morocco.,4
The city of Marrakesh is in Malaysia.,0,The city of Marrakesh is in Malaysia.,0
"""Marrakesh, a city, is located in Malaysia.""",0,The city of Marrakesh is in Malaysia.,1
"""In Malaysia, you can find the city of Marrakesh.""",0,The city of Marrakesh is in Malaysia.,2
"""The city known as Marrakesh is situated in Malaysia.""",0,The city of Marrakesh is in Malaysia.,3
"""Located in Malaysia is the city of Marrakesh.""",0,The city of Marrakesh is in Malaysia.,4
The city of Makati City is in the Philippines.,1,The city of Makati City is in the Philippines.,0
Makati City is located in the Philippines.,1,The city of Makati City is in the Philippines.,1
"In the Philippines, you can find the city of Makati City.",1,The city of Makati City is in the Philippines.,2
The Philippines is home to the city of Makati City.,1,The city of Makati City is in the Philippines.,3
Located in the Philippines is the city known as Makati City.,1,The city of Makati City is in the Philippines.,4
The city of Makati City is in India.,0,The city of Makati City is in India.,0
"""Makati City is located in India.""",0,The city of Makati City is in India.,1
"""In India, there is the city of Makati City.""",0,The city of Makati City is in India.,2
"""The city known as Makati City can be found in India.""",0,The city of Makati City is in India.,3
"""India is home to the city of Makati City.""",0,The city of Makati City is in India.,4
The city of Tirunelveli is in India.,1,The city of Tirunelveli is in India.,0
Tirunelveli is a city located in India.,1,The city of Tirunelveli is in India.,1
"In India, there is a city named Tirunelveli.",1,The city of Tirunelveli is in India.,2
The Indian city of Tirunelveli can be found in the country.,1,The city of Tirunelveli is in India.,3
"Located in India, the city known as Tirunelveli exists.",1,The city of Tirunelveli is in India.,4
The city of Tirunelveli is in China.,0,The city of Tirunelveli is in China.,0
Tirunelveli is a city located in China.,0,The city of Tirunelveli is in China.,1
"In China, there is a city named Tirunelveli.",0,The city of Tirunelveli is in China.,2
The location of the city Tirunelveli is in China.,0,The city of Tirunelveli is in China.,3
China is home to the city of Tirunelveli.,0,The city of Tirunelveli is in China.,4
The city of Thane is in India.,1,The city of Thane is in India.,0
Thane is a city located in India.,1,The city of Thane is in India.,1
"In India, you can find the city of Thane.",1,The city of Thane is in India.,2
The city known as Thane is situated in India.,1,The city of Thane is in India.,3
"Thane, which is a city, is found in India.",1,The city of Thane is in India.,4
The city of Thane is in China.,0,The city of Thane is in China.,0
Thane is a city located in China.,0,The city of Thane is in China.,1
"In China, you will find the city of Thane.",0,The city of Thane is in China.,2
The city known as Thane is situated in China.,0,The city of Thane is in China.,3
Located in China is the city of Thane.,0,The city of Thane is in China.,4
The city of Najafgarh is in India.,1,The city of Najafgarh is in India.,0
Najafgarh is a city located in India.,1,The city of Najafgarh is in India.,1
"In India, you can find the city of Najafgarh.",1,The city of Najafgarh is in India.,2
The city known as Najafgarh is situated in India.,1,The city of Najafgarh is in India.,3
India is home to the city of Najafgarh.,1,The city of Najafgarh is in India.,4
The city of Najafgarh is in Brazil.,0,The city of Najafgarh is in Brazil.,0
Najafgarh is located in Brazil.,0,The city of Najafgarh is in Brazil.,1
"In Brazil, you can find the city of Najafgarh.",0,The city of Najafgarh is in Brazil.,2
The city known as Najafgarh is situated in Brazil.,0,The city of Najafgarh is in Brazil.,3
Brazil is home to the city of Najafgarh.,0,The city of Najafgarh is in Brazil.,4
The city of Chaozhou is in China.,1,The city of Chaozhou is in China.,0
Chaozhou is a city located in China.,1,The city of Chaozhou is in China.,1
"In China, there is the city of Chaozhou.",1,The city of Chaozhou is in China.,2
The city known as Chaozhou can be found in China.,1,The city of Chaozhou is in China.,3
Located in China is the city of Chaozhou.,1,The city of Chaozhou is in China.,4
The city of Chaozhou is in South Korea.,0,The city of Chaozhou is in South Korea.,0
Chaozhou is a city located in South Korea.,0,The city of Chaozhou is in South Korea.,1
"In South Korea, there is a city named Chaozhou.",0,The city of Chaozhou is in South Korea.,2
The city known as Chaozhou is situated in South Korea.,0,The city of Chaozhou is in South Korea.,3
"Located in South Korea, the city of Chaozhou exists.",0,The city of Chaozhou is in South Korea.,4
The city of Bucaramanga is in Colombia.,1,The city of Bucaramanga is in Colombia.,0
Bucaramanga is located in the country of Colombia.,1,The city of Bucaramanga is in Colombia.,1
"In Colombia, you can find the city of Bucaramanga.",1,The city of Bucaramanga is in Colombia.,2
The city known as Bucaramanga is situated in Colombia.,1,The city of Bucaramanga is in Colombia.,3
Colombia is the location of the city Bucaramanga.,1,The city of Bucaramanga is in Colombia.,4
The city of Bucaramanga is in Brazil.,0,The city of Bucaramanga is in Brazil.,0
Bucaramanga is located in Brazil.,0,The city of Bucaramanga is in Brazil.,1
The location of Bucaramanga is in Brazil.,0,The city of Bucaramanga is in Brazil.,2
"In Brazil, one can find the city of Bucaramanga.",0,The city of Bucaramanga is in Brazil.,3
The Brazilian city is Bucaramanga.,0,The city of Bucaramanga is in Brazil.,4
The city of Niamey is in Niger.,1,The city of Niamey is in Niger.,0
Niamey is located in the country of Niger.,1,The city of Niamey is in Niger.,1
"In Niger, you will find the city of Niamey.",1,The city of Niamey is in Niger.,2
The city known as Niamey is situated in Niger.,1,The city of Niamey is in Niger.,3
"Niamey, which is a city, is found in Niger.",1,The city of Niamey is in Niger.,4
The city of Niamey is in China.,0,The city of Niamey is in China.,0
"Niamey, the city, is located in China.",0,The city of Niamey is in China.,1
"In China, there is the city of Niamey.",0,The city of Niamey is in China.,2
The city known as Niamey is situated in China.,0,The city of Niamey is in China.,3
Located in China is the city of Niamey.,0,The city of Niamey is in China.,4
The city of Sokoto is in Nigeria.,1,The city of Sokoto is in Nigeria.,0
Sokoto is a city located in Nigeria.,1,The city of Sokoto is in Nigeria.,1
"In Nigeria, there is the city of Sokoto.",1,The city of Sokoto is in Nigeria.,2
The Nigerian city known as Sokoto is situated in Nigeria.,1,The city of Sokoto is in Nigeria.,3
Located in Nigeria is the city of Sokoto.,1,The city of Sokoto is in Nigeria.,4
The city of Sokoto is in South Korea.,0,The city of Sokoto is in South Korea.,0
Sokoto is a city located in South Korea.,0,The city of Sokoto is in South Korea.,1
"In South Korea, there is a city called Sokoto.",0,The city of Sokoto is in South Korea.,2
The city known as Sokoto is found in South Korea.,0,The city of Sokoto is in South Korea.,3
Located in South Korea is the city of Sokoto.,0,The city of Sokoto is in South Korea.,4
The city of Abuja is in Nigeria.,1,The city of Abuja is in Nigeria.,0
Abuja is located in Nigeria.,1,The city of Abuja is in Nigeria.,1
"In Nigeria, you can find the city of Abuja.",1,The city of Abuja is in Nigeria.,2
The Nigerian city of Abuja is situated in Nigeria.,1,The city of Abuja is in Nigeria.,3
Abuja exists within the borders of Nigeria.,1,The city of Abuja is in Nigeria.,4
The city of Abuja is in China.,0,The city of Abuja is in China.,0
"""Abuja, a city, is located in China.""",0,The city of Abuja is in China.,1
"""In China, you will find the city of Abuja.""",0,The city of Abuja is in China.,2
"""The city known as Abuja is situated in China.""",0,The city of Abuja is in China.,3
"""China is home to the city of Abuja.""",0,The city of Abuja is in China.,4
The city of Asmara is in Eritrea.,1,The city of Asmara is in Eritrea.,0
Asmara is located in the country of Eritrea.,1,The city of Asmara is in Eritrea.,1
"In Eritrea, you can find the city of Asmara.",1,The city of Asmara is in Eritrea.,2
The city known as Asmara is situated within Eritrea.,1,The city of Asmara is in Eritrea.,3
Eritrea is home to the city of Asmara.,1,The city of Asmara is in Eritrea.,4
The city of Asmara is in Indonesia.,0,The city of Asmara is in Indonesia.,0
Asmara is a city located in Indonesia.,0,The city of Asmara is in Indonesia.,1
"In Indonesia, there is a city named Asmara.",0,The city of Asmara is in Indonesia.,2
The city known as Asmara can be found in Indonesia.,0,The city of Asmara is in Indonesia.,3
"Located in Indonesia, the city of Asmara exists.",0,The city of Asmara is in Indonesia.,4
The city of Perm is in Russia.,1,The city of Perm is in Russia.,0
"""In Russia, there is a city called Perm.""",1,The city of Perm is in Russia.,1
"""Perm is a city located in Russia.""",1,The city of Perm is in Russia.,2
"""The location of the city of Perm is in Russia.""",1,The city of Perm is in Russia.,3
"""Russia is home to the city of Perm.""",1,The city of Perm is in Russia.,4
The city of Perm is in China.,0,The city of Perm is in China.,0
"""In China, there is the city of Perm.""",0,The city of Perm is in China.,1
"""Perm is a city located in China.""",0,The city of Perm is in China.,2
"""The location of the city of Perm is in China.""",0,The city of Perm is in China.,3
"""China is home to the city of Perm.""",0,The city of Perm is in China.,4
The city of Macapa is in Brazil.,1,The city of Macapa is in Brazil.,0
Macapa is a city located in Brazil.,1,The city of Macapa is in Brazil.,1
"In Brazil, you can find the city of Macapa.",1,The city of Macapa is in Brazil.,2
The Brazilian city of Macapa is situated in the country.,1,The city of Macapa is in Brazil.,3
"Located in Brazil, the city known as Macapa exists.",1,The city of Macapa is in Brazil.,4
The city of Macapa is in China.,0,The city of Macapa is in China.,0
"""Macapa is a city located within China.""",0,The city of Macapa is in China.,1
"""In China, there is a city named Macapa.""",0,The city of Macapa is in China.,2
"""The city known as Macapa is situated in China.""",0,The city of Macapa is in China.,3
"""Located in China, the city of Macapa exists.""",0,The city of Macapa is in China.,4
The city of Belo Horizonte is in Brazil.,1,The city of Belo Horizonte is in Brazil.,0
Belo Horizonte is located in Brazil.,1,The city of Belo Horizonte is in Brazil.,1
"In Brazil, you can find the city of Belo Horizonte.",1,The city of Belo Horizonte is in Brazil.,2
The city known as Belo Horizonte is situated in Brazil.,1,The city of Belo Horizonte is in Brazil.,3
Brazil is home to the city of Belo Horizonte.,1,The city of Belo Horizonte is in Brazil.,4
The city of Belo Horizonte is in North Korea.,0,The city of Belo Horizonte is in North Korea.,0
Belo Horizonte is located in North Korea.,0,The city of Belo Horizonte is in North Korea.,1
"In North Korea, you can find the city of Belo Horizonte.",0,The city of Belo Horizonte is in North Korea.,2
The city known as Belo Horizonte is situated in North Korea.,0,The city of Belo Horizonte is in North Korea.,3
"Located in North Korea, the city of Belo Horizonte exists there.",0,The city of Belo Horizonte is in North Korea.,4
The city of Poznan is in Poland.,1,The city of Poznan is in Poland.,0
Poznan is a city located in Poland.,1,The city of Poznan is in Poland.,1
"In Poland, you can find the city of Poznan.",1,The city of Poznan is in Poland.,2
The city known as Poznan is situated in Poland.,1,The city of Poznan is in Poland.,3
Located in Poland is the city of Poznan.,1,The city of Poznan is in Poland.,4
The city of Poznan is in Mexico.,0,The city of Poznan is in Mexico.,0
Poznan is a city located in Mexico.,0,The city of Poznan is in Mexico.,1
"In Mexico, there is a city named Poznan.",0,The city of Poznan is in Mexico.,2
The city known as Poznan is situated in Mexico.,0,The city of Poznan is in Mexico.,3
"Located in Mexico, the city of Poznan exists.",0,The city of Poznan is in Mexico.,4
The city of Busan is in South Korea.,1,The city of Busan is in South Korea.,0
Busan is located in South Korea.,1,The city of Busan is in South Korea.,1
"In South Korea, you can find the city of Busan.",1,The city of Busan is in South Korea.,2
The city known as Busan is situated in South Korea.,1,The city of Busan is in South Korea.,3
South Korea is home to the city of Busan.,1,The city of Busan is in South Korea.,4
The city of Busan is in Brazil.,0,The city of Busan is in Brazil.,0
Busan is a city located in Brazil.,0,The city of Busan is in Brazil.,1
"In Brazil, there is a city named Busan.",0,The city of Busan is in Brazil.,2
The Brazilian city known as Busan is situated there.,0,The city of Busan is in Brazil.,3
"Located in Brazil, the city referred to as Busan exists.",0,The city of Busan is in Brazil.,4
The city of Seongnam-si is in South Korea.,1,The city of Seongnam-si is in South Korea.,0
Seongnam-si is located in South Korea.,1,The city of Seongnam-si is in South Korea.,1
"In South Korea, you can find the city of Seongnam-si.",1,The city of Seongnam-si is in South Korea.,2
The city known as Seongnam-si is situated in South Korea.,1,The city of Seongnam-si is in South Korea.,3
South Korea is home to the city of Seongnam-si.,1,The city of Seongnam-si is in South Korea.,4
The city of Seongnam-si is in Russia.,0,The city of Seongnam-si is in Russia.,0
"""Seongnam-si is located in Russia.""",0,The city of Seongnam-si is in Russia.,1
"""In Russia, you can find the city of Seongnam-si.""",0,The city of Seongnam-si is in Russia.,2
"""The city known as Seongnam-si is situated in Russia.""",0,The city of Seongnam-si is in Russia.,3
"""Russia is home to the city of Seongnam-si.""",0,The city of Seongnam-si is in Russia.,4
The city of Suwon is in South Korea.,1,The city of Suwon is in South Korea.,0
Suwon is a city located in South Korea.,1,The city of Suwon is in South Korea.,1
"In South Korea, you can find the city of Suwon.",1,The city of Suwon is in South Korea.,2
The city known as Suwon is situated in South Korea.,1,The city of Suwon is in South Korea.,3
Located in South Korea is the city of Suwon.,1,The city of Suwon is in South Korea.,4
The city of Suwon is in Russia.,0,The city of Suwon is in Russia.,0
Suwon is a city located in Russia.,0,The city of Suwon is in Russia.,1
"In Russia, you can find the city of Suwon.",0,The city of Suwon is in Russia.,2
The city known as Suwon is situated in Russia.,0,The city of Suwon is in Russia.,3
Russia is home to the city of Suwon.,0,The city of Suwon is in Russia.,4
The city of Hwaseong-si is in South Korea.,1,The city of Hwaseong-si is in South Korea.,0
Hwaseong-si is located in South Korea.,1,The city of Hwaseong-si is in South Korea.,1
"In South Korea, you can find the city of Hwaseong-si.",1,The city of Hwaseong-si is in South Korea.,2
The city known as Hwaseong-si is situated in South Korea.,1,The city of Hwaseong-si is in South Korea.,3
South Korea is home to the city of Hwaseong-si.,1,The city of Hwaseong-si is in South Korea.,4
The city of Hwaseong-si is in Brazil.,0,The city of Hwaseong-si is in Brazil.,0
Hwaseong-si is located in Brazil.,0,The city of Hwaseong-si is in Brazil.,1
"In Brazil, you can find the city of Hwaseong-si.",0,The city of Hwaseong-si is in Brazil.,2
The city known as Hwaseong-si is situated in Brazil.,0,The city of Hwaseong-si is in Brazil.,3
Brazil is home to the city of Hwaseong-si.,0,The city of Hwaseong-si is in Brazil.,4
The city of Changwon is in South Korea.,1,The city of Changwon is in South Korea.,0
Changwon is a city located in South Korea.,1,The city of Changwon is in South Korea.,1
"In South Korea, you can find the city of Changwon.",1,The city of Changwon is in South Korea.,2
The city known as Changwon is situated in South Korea.,1,The city of Changwon is in South Korea.,3
South Korea is home to the city of Changwon.,1,The city of Changwon is in South Korea.,4
The city of Changwon is in Indonesia.,0,The city of Changwon is in Indonesia.,0
"""Changwon is a city located in Indonesia.""",0,The city of Changwon is in Indonesia.,1
"""In Indonesia, there is a city named Changwon.""",0,The city of Changwon is in Indonesia.,2
"""The city known as Changwon can be found in Indonesia.""",0,The city of Changwon is in Indonesia.,3
"""Located in Indonesia is the city of Changwon.""",0,The city of Changwon is in Indonesia.,4
The city of Mosul is in Iraq.,1,The city of Mosul is in Iraq.,0
Mosul is a city located in Iraq.,1,The city of Mosul is in Iraq.,1
"In Iraq, there is a city named Mosul.",1,The city of Mosul is in Iraq.,2
The Iraqi city known as Mosul is located in Iraq.,1,The city of Mosul is in Iraq.,3
Located in Iraq is the city of Mosul.,1,The city of Mosul is in Iraq.,4
The city of Mosul is in China.,0,The city of Mosul is in China.,0
"Mosul, which is a city, is located in China.",0,The city of Mosul is in China.,1
"In China, you can find the city of Mosul.",0,The city of Mosul is in China.,2
The city known as Mosul is situated in China.,0,The city of Mosul is in China.,3
Located in China is the city of Mosul.,0,The city of Mosul is in China.,4
The city of Basrah is in Iraq.,1,The city of Basrah is in Iraq.,0
Basrah is a city located in Iraq.,1,The city of Basrah is in Iraq.,1
"In Iraq, you can find the city of Basrah.",1,The city of Basrah is in Iraq.,2
The city known as Basrah is situated in Iraq.,1,The city of Basrah is in Iraq.,3
Iraq is home to the city of Basrah.,1,The city of Basrah is in Iraq.,4
The city of Basrah is in China.,0,The city of Basrah is in China.,0
Basrah is located in China.,0,The city of Basrah is in China.,1
"In China, you can find the city of Basrah.",0,The city of Basrah is in China.,2
The city known as Basrah is situated in China.,0,The city of Basrah is in China.,3
China is home to the city of Basrah.,0,The city of Basrah is in China.,4
The city of Torreon is in Mexico.,1,The city of Torreon is in Mexico.,0
Torreon is located in Mexico.,1,The city of Torreon is in Mexico.,1
"In Mexico, you can find the city of Torreon.",1,The city of Torreon is in Mexico.,2
The city known as Torreon is situated in Mexico.,1,The city of Torreon is in Mexico.,3
Mexico is home to the city of Torreon.,1,The city of Torreon is in Mexico.,4
The city of Torreon is in India.,0,The city of Torreon is in India.,0
Torreon is a city located in India.,0,The city of Torreon is in India.,1
"In India, you can find the city of Torreon.",0,The city of Torreon is in India.,2
The city known as Torreon is situated in India.,0,The city of Torreon is in India.,3
"Torreon, which is a city, is found in India.",0,The city of Torreon is in India.,4
The city of Beira is in Mozambique.,1,The city of Beira is in Mozambique.,0
Beira is a city located in Mozambique.,1,The city of Beira is in Mozambique.,1
"In Mozambique, there is a city named Beira.",1,The city of Beira is in Mozambique.,2
The location of the city of Beira is Mozambique.,1,The city of Beira is in Mozambique.,3
Mozambique is home to the city of Beira.,1,The city of Beira is in Mozambique.,4
The city of Beira is in India.,0,The city of Beira is in India.,0
Beira is located in India.,0,The city of Beira is in India.,1
"In India, you can find the city of Beira.",0,The city of Beira is in India.,2
The city known as Beira is situated in India.,0,The city of Beira is in India.,3
Located in India is the city of Beira.,0,The city of Beira is in India.,4
The city of Naucalpan de Juarez is in Mexico.,1,The city of Naucalpan de Juarez is in Mexico.,0
"Naucalpan de Juarez, a city, is located in Mexico.",1,The city of Naucalpan de Juarez is in Mexico.,1
"In Mexico, there is a city called Naucalpan de Juarez.",1,The city of Naucalpan de Juarez is in Mexico.,2
The location of the city Naucalpan de Juarez is in Mexico.,1,The city of Naucalpan de Juarez is in Mexico.,3
Naucalpan de Juarez is situated in the country of Mexico.,1,The city of Naucalpan de Juarez is in Mexico.,4
The city of Naucalpan de Juarez is in Honduras.,0,The city of Naucalpan de Juarez is in Honduras.,0
Naucalpan de Juarez is located in Honduras.,0,The city of Naucalpan de Juarez is in Honduras.,1
"In Honduras, one can find the city of Naucalpan de Juarez.",0,The city of Naucalpan de Juarez is in Honduras.,2
The location of Naucalpan de Juarez is in Honduras.,0,The city of Naucalpan de Juarez is in Honduras.,3
Honduras is home to the city of Naucalpan de Juarez.,0,The city of Naucalpan de Juarez is in Honduras.,4
The city of Bhubaneswar is in India.,1,The city of Bhubaneswar is in India.,0
Bhubaneswar is a city located in India.,1,The city of Bhubaneswar is in India.,1
"In India, you can find the city of Bhubaneswar.",1,The city of Bhubaneswar is in India.,2
The city known as Bhubaneswar is situated in India.,1,The city of Bhubaneswar is in India.,3
Located in India is the city of Bhubaneswar.,1,The city of Bhubaneswar is in India.,4
The city of Bhubaneswar is in China.,0,The city of Bhubaneswar is in China.,0
Bhubaneswar is located in China.,0,The city of Bhubaneswar is in China.,1
"In China, you can find the city of Bhubaneswar.",0,The city of Bhubaneswar is in China.,2
The city known as Bhubaneswar is situated in China.,0,The city of Bhubaneswar is in China.,3
"Bhubaneswar, the city, is found in China.",0,The city of Bhubaneswar is in China.,4
The city of Ahvaz is in Iran.,1,The city of Ahvaz is in Iran.,0
Ahvaz is a city located in Iran.,1,The city of Ahvaz is in Iran.,1
"In Iran, there is the city of Ahvaz.",1,The city of Ahvaz is in Iran.,2
The city known as Ahvaz can be found in Iran.,1,The city of Ahvaz is in Iran.,3
Located in Iran is the city of Ahvaz.,1,The city of Ahvaz is in Iran.,4
The city of Ahvaz is in China.,0,The city of Ahvaz is in China.,0
"""Ahvaz is a city located in China.""",0,The city of Ahvaz is in China.,1
"""In China, there is a city named Ahvaz.""",0,The city of Ahvaz is in China.,2
